"CCR5","CD11b","CD11c","CD127","CD14","CD16","CD163","CD19","CD206","CD25","CD3","CD33","CD34","CD4","CD45RO","CD45_NORM","CD45_TUM","CD56","CD64","CD66","CD8","CD80","CD86","CX3CR1","CXCR3_CD183","Ce140Di","Cisplatin1","Cisplatin2","Cs133Di","DNA1","DNA2","Er167Di","Eu151Di","Eu153Di","Event_length","Gd155Di","Gd157Di","HLA-DR","I127Di","La138Di","La139Di","Nd150Di","PD1","PDL1_CD274","Pm147Di","SampleID","Yb171Di","Yb172Di","Yb173Di","cellType","e131Di","Time"
1.574203,0.000000,0.185185,1.142113,0.319537,0.000000,0.000000,0.000000,0.000000,2.763222,3.533607,0.531619,0.000000,2.165697,1.735661,0.324577,3.516011,1.057979,0.388513,0.000000,0.000000,0.570826,0.000000,0.743439,1.926672,0.000000,0.477005,0.000000,0.000000,0.294387,0.472091,0.000000,0.000000,0.000000,2.388011,0.000000,0.000000,1.713343,0.000000,2.720634,0.000000,0.000000,2.334948,1.218202,0.000000,10.278629,0.000000,0.000000,0.000000,2.000000,0.000000,0.893112
2.390108,0.000000,0.294587,1.539734,0.335449,0.000000,0.809034,0.725214,0.000000,2.255322,2.165776,0.378612,0.334958,0.000000,1.904800,0.538724,4.334755,2.320144,0.454951,0.000000,1.697884,0.991412,0.030760,0.347149,2.007101,0.000000,1.213786,0.851125,0.000000,0.535865,0.996356,0.000000,0.000000,0.000000,2.230814,0.000000,0.000000,1.096571,0.840219,2.714659,0.000000,0.000000,1.264755,1.714778,0.000000,9.939126,0.000000,0.000000,0.000000,3.000000,0.000000,1.010158
1.600032,0.256210,0.000000,1.873197,0.000000,0.000000,0.000000,0.000000,0.000000,4.108253,2.560947,0.451771,0.537700,1.466776,3.030544,0.000000,3.874183,1.686974,0.000000,3.351811,0.000000,0.358756,0.117959,0.000000,1.975126,0.000000,1.119043,0.336680,0.000000,0.914545,1.437464,0.000000,0.000000,0.000000,2.524137,0.000000,0.000000,2.782873,0.650541,2.571488,0.000000,0.416030,0.098289,1.232828,0.291693,10.215170,0.000000,0.000000,0.000000,6.000000,0.306303,2.391620
2.138573,1.941817,1.685643,1.376327,0.000000,0.116961,0.000000,0.032533,0.000000,2.780740,0.000000,0.000000,0.298922,0.000000,0.244749,0.710208,2.202053,1.399519,0.000000,2.391111,0.000000,0.810932,0.055759,1.308887,4.005014,0.000000,0.683189,0.000000,0.000000,0.331382,0.146799,0.083764,0.000000,0.000000,2.272441,0.000000,0.044634,0.841697,0.093901,1.076921,0.000000,0.749900,0.000000,1.542379,0.000000,10.380736,0.000000,0.000000,0.000000,16.000000,0.000000,2.676299
1.264658,0.000000,0.057051,1.613138,0.000000,0.000000,0.194077,0.000000,0.000000,1.240742,3.765109,0.000000,0.175386,2.663924,1.083161,0.819307,3.925543,0.281592,0.000000,1.947294,0.000000,0.000000,0.934263,0.018330,2.407619,0.000000,0.404596,0.000000,0.000000,0.344245,0.083338,0.216781,0.000000,0.000000,2.350926,0.158584,0.102860,1.355106,0.000000,1.521367,0.000000,0.000000,1.459252,0.000000,0.000000,9.747181,0.000000,0.140201,0.000000,35.000000,0.771996,2.990607
2.022735,0.000000,0.000000,0.595140,0.108418,0.000000,0.000000,0.000000,0.512676,0.277441,4.181446,0.000000,0.642233,2.698784,1.346340,0.274689,3.921509,1.573532,0.000000,1.203483,0.300292,0.410268,2.061235,1.122346,4.249112,0.000000,1.430155,0.700073,0.000000,0.259997,0.273601,0.000000,0.000000,0.000000,1.529660,0.000000,0.086154,2.852784,0.039837,1.899116,0.000000,0.043612,1.459680,1.516780,0.000000,10.202457,0.025795,0.000000,0.000000,44.000000,0.325716,3.218583
2.212109,0.416918,0.000000,0.734007,0.036695,0.000000,0.243211,0.000000,0.753666,1.574097,3.636945,0.000000,0.000000,2.209238,1.248813,0.000000,2.263446,0.756718,0.028705,2.873083,0.024103,0.000000,1.298574,0.820895,4.130263,0.000000,1.149824,1.021073,0.000000,0.357338,0.191904,0.113822,0.000000,0.000000,2.555494,0.000000,0.000000,1.399482,0.000000,0.767783,0.000000,0.000000,2.384226,1.769463,0.040667,10.190120,0.124335,0.038892,0.000000,44.000000,0.000000,3.220362
1.070215,1.547052,0.495075,1.941202,0.000000,0.000000,0.000000,0.000000,0.000000,3.483865,3.836686,0.000000,0.149090,1.400615,1.901110,0.174980,3.871462,0.000000,0.000000,0.325615,0.000000,0.437247,0.311178,0.000000,0.000000,0.000000,0.794727,0.428186,0.000000,0.243498,1.317353,0.000000,0.000000,0.000000,2.312438,0.000000,0.000000,1.120387,0.000000,1.824803,0.042362,0.000000,0.436641,1.811384,0.000000,10.315669,0.000000,0.000000,0.000000,46.000000,0.021859,3.280016
1.498909,1.806693,0.094522,1.997827,0.000000,0.000000,0.000000,0.000000,0.493959,1.542862,4.477540,0.000000,0.000000,1.488679,2.331378,0.200902,4.601659,0.762071,0.060269,0.000000,0.000000,0.000000,0.688645,0.000000,1.199034,0.000000,0.307371,0.000000,0.000000,0.448913,0.587091,0.677764,0.000000,0.000000,2.312438,0.000000,0.391308,2.859475,0.000000,2.019660,0.000000,0.000000,2.817934,1.587101,0.024870,10.510132,0.000000,0.000000,0.000000,2.000000,0.000000,3.363829
0.000000,0.065064,0.000000,0.256505,0.000000,0.000000,0.000000,0.000000,0.465141,2.113543,3.752796,0.000000,0.000000,2.775478,1.360232,0.109509,4.171495,1.235482,0.000000,0.000000,0.422197,0.000000,0.299839,0.000000,0.853069,0.000000,0.082191,0.000000,0.000000,0.342049,1.061628,0.000000,0.000000,0.000000,2.350926,0.000000,0.000000,1.134123,0.000000,1.850050,0.000000,0.000000,3.167135,0.764919,0.000000,10.192745,0.000000,0.102784,0.000000,2.000000,0.000000,3.474751
