"CCR5","CD11b","CD11c","CD127","CD14","CD16","CD163","CD19","CD206","CD25","CD3","CD33","CD34","CD4","CD45RO","CD45_NORM","CD45_TUM","CD56","CD64","CD66","CD8","CD80","CD86","CX3CR1","CXCR3_CD183","Ce140Di","Cisplatin1","Cisplatin2","Cs133Di","DNA1","DNA2","Er167Di","Eu151Di","Eu153Di","Event_length","Gd155Di","Gd157Di","HLA-DR","I127Di","La138Di","La139Di","Nd150Di","PD1","PDL1_CD274","Pm147Di","SampleID","Yb171Di","Yb172Di","Yb173Di","cellType","e131Di","Time"
2.527233,4.553318,3.551930,2.674375,2.653701,2.254542,2.623916,2.172607,2.013500,3.053531,1.393344,2.133340,2.463258,1.026329,3.612616,0.000000,3.734614,2.924780,2.092732,2.300190,1.702964,3.483505,3.322852,2.261050,4.904067,0.373734,0.114994,0.525734,0.000000,0.616026,0.614695,0.000000,0.000000,0.000000,2.585907,0.019357,0.615805,1.940600,1.204996,1.911785,0.000000,0.011774,3.014892,3.626366,0.044624,10.120501,0.000000,0.039958,0.000000,12.000000,0.000000,2.567370
0.683834,3.103496,5.290072,0.559249,2.574614,0.909525,0.385504,0.309298,1.396963,2.937185,0.348114,2.949730,1.127941,0.373790,1.116990,0.943764,4.064806,2.624573,1.515516,1.469483,0.000000,1.088164,3.912222,0.712685,3.683423,0.000000,0.940695,0.488254,0.000000,0.369661,0.586544,0.144694,0.000000,0.000000,2.491780,0.000000,1.522062,5.424036,0.000000,2.948796,0.000000,0.614010,0.970405,4.858022,0.000000,10.152085,0.000000,0.000000,0.288888,26.000000,0.443952,2.829386
0.836996,4.260143,3.433594,2.359556,2.159476,1.565838,1.643833,1.289379,1.864220,3.953640,0.230070,1.594776,1.258607,0.632004,2.302247,0.088585,3.663716,1.628532,0.338223,0.418823,0.000000,2.852774,2.431734,0.878045,3.788180,0.000000,0.903966,0.000000,0.000000,0.653821,0.206055,0.000000,0.000000,0.000000,2.142112,0.000000,0.000000,1.386899,0.897658,1.803918,0.000000,0.000000,2.380195,2.692784,0.000000,10.264604,0.000000,0.000000,0.000000,27.000000,0.000000,2.833941
1.492646,5.185863,4.845160,0.857033,1.770885,1.621572,2.098083,1.518742,0.803927,3.707222,0.496259,1.437185,1.758179,0.929330,2.189130,1.263237,4.829815,1.452987,0.651405,3.432847,0.680393,2.219103,1.511412,1.467571,3.292947,0.000000,0.327903,0.604977,0.000000,0.667538,0.626448,0.355861,0.114677,0.000000,2.458355,0.000000,0.087447,1.973006,0.000000,1.196754,0.000000,0.856794,1.939316,2.303854,0.000000,10.328156,0.000000,0.000000,0.000000,27.000000,0.000000,3.431242
1.504016,4.850016,3.744304,3.810874,1.715798,1.563183,1.516123,0.466213,1.321359,3.161635,0.389794,1.224931,1.013022,0.223646,2.790975,0.744972,4.547565,1.745682,0.473884,2.273699,0.000000,2.340538,2.201777,0.776680,3.543069,0.085328,0.344589,0.617354,0.000000,1.127847,1.282783,0.000000,0.000000,0.000000,2.491780,0.000000,0.989817,0.761254,0.908752,2.229495,0.000000,0.000000,1.950853,2.093149,0.000000,10.436969,0.000000,0.000000,0.000000,27.000000,0.000000,3.718772
3.677629,1.067467,4.603403,0.576083,2.130387,0.107106,1.112430,0.369958,3.142104,4.896518,0.279749,1.139278,2.975065,0.735819,2.608996,0.000000,3.555538,2.850008,1.660406,0.000000,0.000000,2.103948,4.294462,1.742889,5.497503,0.000000,0.658519,0.000000,0.000000,0.528721,0.618590,0.000000,0.000000,0.000000,2.423792,0.149000,0.671408,5.765695,0.159277,2.012190,0.000000,0.056158,0.658202,3.722431,0.000000,10.221762,0.352176,0.442416,0.620434,61.000000,0.000000,3.756551
1.581988,4.660770,3.566618,2.546657,2.474130,1.194299,1.948410,1.886604,1.468778,4.121543,0.554244,1.743121,1.937634,0.466413,3.135902,0.344712,4.372065,2.274461,0.490944,2.046379,1.381052,2.966950,2.667755,1.296048,3.880042,0.210394,1.381732,0.340942,0.000000,0.950579,0.719930,0.000000,0.000000,0.000000,2.491780,0.000000,0.621283,1.320620,1.474367,1.838231,0.000000,0.000000,1.891383,2.446006,0.058706,10.310699,0.000000,0.000000,0.000000,27.000000,0.000000,4.026203
2.091002,3.121931,2.022702,2.024242,1.465441,1.867611,1.272526,1.142395,1.168691,2.260344,0.533114,1.014733,2.189243,1.185776,1.761574,0.162341,2.227412,1.900777,1.855615,0.725360,1.529479,2.523076,2.614843,1.651058,3.401181,0.000000,1.297815,0.610108,0.123755,0.656847,0.855750,0.000000,0.000000,0.000000,2.350926,0.000000,0.000000,1.801221,0.010477,1.016610,0.000000,0.000000,2.521036,2.681559,0.000000,10.208097,0.000000,0.000000,0.000000,27.000000,0.000000,4.289996
2.465656,2.156967,4.569710,0.794053,0.363456,0.392328,0.031414,0.713988,0.146618,4.199388,0.324026,1.638982,1.263449,0.779452,1.129178,0.000000,2.516430,2.556034,0.676517,2.181986,0.290526,1.889001,4.332468,1.519704,4.843989,0.000000,0.179228,0.476759,0.000000,0.344949,0.087610,0.065468,0.000000,0.000000,2.725596,0.000000,1.380013,4.608233,0.000000,1.616570,0.000000,0.000000,0.792906,3.389197,0.000000,10.406013,0.000000,0.000000,1.003991,73.000000,0.000000,4.375848
2.972503,1.528942,4.412183,0.054047,0.525835,1.107960,0.342130,0.256238,0.820918,3.288337,0.018495,1.393694,0.150677,0.728509,1.934746,0.000000,2.976710,2.008158,0.793178,0.715964,0.008970,1.585624,5.240046,0.303926,4.406291,0.000000,0.807233,0.000000,0.000000,0.246643,0.867984,0.000000,0.000000,0.000000,2.094712,1.306061,0.607478,5.671326,0.000000,0.814599,0.000000,0.000000,0.065644,1.710209,0.000000,10.365189,0.000000,1.591851,0.779507,74.000000,0.371931,4.424948
