"R_670_14-A", "R_780_60-A", "V_450_50-A", "YG_586_15-A", "YG_780_60-A", "B_710_50-A"
27.01,1008.86,126.42,2044.68,3585.56,2878.12
150.38,1273.12,236.5,1949.64,3448.72,4100.96
294.19,2649.9,351.74,4553.12,4107.84,10406.7
468.66,8154.1,3820.98,26400,1785.96,21397
78.84,1595.05,285.52,2392.72,4649.92,2946.52
20.44,788.4,223.6,1880.12,1738,2062.64
305.14,3610.58,420.54,2657.6,6852.56,15830.8
92.71,1681.19,251.98,3250.72,6024.04,4359.36
33.58,1380.43,245.96,2391.4,5371.08,3125.12
1757.84,5550.92,327.66,2181.52,6344.8,118335
143.81,876,2200.74,8839.6,1510.08,11104.4
159.87,3693.8,2866.38,7981.6,11915.6,10765.4
29.2,1619.14,198.66,2379.96,5252.28,3056.72
170.09,985.5,436.02,1867.36,3371.72,4518.2
288.35,1935.96,6992.66,51230.1,2000.24,27056
369.38,2244.75,2404.56,16013.8,1455.96,22293.1
23.36,2233.07,735.3,27226.8,5738.48,17133.4
963.6,11739.1,915.9,10698.2,1799.6,49416
56.21,1475.33,135.88,1794.76,4634.52,2498.12
364.27,2358.63,275.2,2472.8,5804.92,9452.12
408.07,3008.33,5659.66,14792.8,6086.96,17904.8
13.14,505.89,122.98,2189.44,1912.68,1537.48
158.41,1821.35,233.92,3304.84,5164.72,6580.84
559.91,6107.18,1118,10736.9,1414.16,24646
51.83,1560.01,208.98,2891.68,4380.2,5066.16
176.66,1619.87,437.74,2880.24,5122.48,5307.08
91.25,3757.31,159.1,2061.4,4994.88,4847.28
-9.49,2050.57,321.64,3839,6141.96,4347.2
478.88,2682.02,369.8,2902.24,6001.16,5555.6
227.03,1163.62,3348.84,8393.88,3354.12,10529.8
231.41,6118.13,754.22,23086.4,1541.32,15300.3
738.76,4288.02,881.5,2933.04,828.08,24899.9
148.92,1751.27,305.3,2390.52,5024.36,5332.16
210.97,1888.51,278.64,2302.52,3415.72,7348.44
59.13,1205.23,122.98,2396.24,4092.44,3739.2
16.79,426.32,221.88,1914.88,1152.8,2926.76
443.84,10206.9,479.88,3091.44,1295.36,14823
439.46,13930.6,2821.66,10810.8,3604.48,21612.9
8.76,462.09,677.68,2237.84,1752.52,2870.52
149.65,1213.99,163.4,3419.24,2272.16,7041.4
124.1,2630.19,288.96,2749.56,6656.32,6464.56
27.01,892.79,233.92,2784.76,3120.04,2746.64
373.76,1573.88,775.72,8576.48,1279.08,9726.48
86.87,1367.29,116.1,2339.92,4825.92,4120.72
118.99,698.61,1814.6,6878.08,1650.88,7563.52
113.15,2127.22,208.98,1874.84,7741.36,3325.76
199.29,1004.48,497.94,2656.72,1046.76,6348.28
78.11,721.24,186.62,2109.36,1954.48,1784.48
357.7,1546.87,268.32,6163.08,1036.2,8340.24
91.98,1927.93,273.48,2264.24,6676.12,4166.32
48.91,250.39,1677,4559.72,982.08,4924.04
144.54,1718.42,374.96,2261.16,5788.64,5517.6
94.9,2349.14,413.66,2454.32,7176.4,6638.6
245.28,2644.79,6185.98,27665,7422.36,23189.1
1481.17,1370.21,2079.48,10660.3,2451.68,21790
102.93,616.12,562.44,12339.8,722.04,10523
11.68,672.33,214.14,2505.8,1806.64,2824.16
