"Bi209Di", "Ce140Di", "Cs133Di", "Dy161Di", "Dy162Di", "Dy163Di", "Dy164Di", "Er166Di", "Er167Di", "Er168Di", "Er170Di", "Eu151Di", "Eu153Di", "Gd155Di", "Gd156Di", "Gd157Di", "Gd158Di", "Gd160Di", "Ho165Di", "I127Di", "In115Di", "Ir191Di", "Ir193Di", "La138Di", "La139Di", "Lu175Di", "Lu176Di", "Nd142Di", "Nd143Di", "Nd144Di", "Nd145Di", "Nd146Di", "Nd148Di", "Nd150Di", "Pm147Di", "Pr141Di", "Pt195Di", "Pt198Di", "Sm149Di", "Sm152Di", "Sm154Di", "Tb159Di", "Tm169Di", "Xe131Di", "Yb171Di", "Yb172Di", "Yb173Di", "Yb174Di"
0,0.285779,0,0.950898,0,0,0,0,0,0,9.86117,0,0.127865,0,2.27269,8.10614,1.41063,0,0,1.69409,3.57425,6.4522,3.78015,32.7373,0,0,345.188,0,0,38.7957,1.77267,50.4359,0,0,0,291.772,0,0,0,17.249,0,0,0,0,0,0,0,5.11169
0,0,0,1.35241,0,0,0,0.701452,0,0,17.2087,0,0,0,1.9038,1.28043,0,0.68109,2.81227,0,6.73993,1.31691,3.29428,28.8926,0,0,102.154,0,0,14.1223,0.747938,19.7409,0,0,0,221.739,2.43708,0,1.55949,13.4023,0,0.606487,0.397708,0,0,0,0,1.75722
0,0,0,3.97353,0.311653,6.47939,0,0.366589,0,0,9.36423,0,0,0,0,6.8595,0,0,31.8197,0,1.734,2.46196,6.5114,32.8956,0,0,135.895,0.005634,0,8.59811,1.10351,58.5959,1.52545,0.822706,0.860826,204.399,7.67947,0.55554,0,20.1637,0,0,2.74833,0,0,0.405674,0,0
0,0,0,2.27545,3.23956,30.7322,0,2.56684,0,0,7.24845,0,0,0,0.717393,1.94648,0,0.174547,5.45599,0,0.586684,1.63632,6.48466,34.2442,0,0,15.6625,0,0.172942,30.5696,2.33992,6.18468,0,0,0,84.3358,3.07741,0,0.960023,4.00913,0,1.64691,1.2075,0.223011,0,0,0,4.19029
10.4717,0,0,6.16066,1.40983,120.68,1.24563,0.806751,0,0.611606,0,0,0.795681,0,0,0,0,1.05558,0.964775,0,0,2.20853,1.06565,14.6764,0.425639,1.35891,4.76037,0,0.968209,7.21599,0,0,0,2.04874,0,28.1918,0,0,93.6732,0,0,0,0.929419,0,0,0,0,0
5.75571,0,0,17.7617,0,135.209,1.65364,0,0,0,5.7608,0,0,0,2.71331,6.7304,2.68803,0.268444,4.59582,3.06398,3.55809,5.27016,5.17466,35.6571,0,12.3897,5.90338,0,0,36.4345,3.84787,1.74151,2.03698,0.337504,1.52306,175.507,7.5538,3.88491,33.7976,7.12984,0,4.34735,6.43092,1.08676,0,0,0,0
63.8829,1.30373,0,0,1.69413,91.0343,2.69022,0,0,0.750895,0,0,0,0,0,5.78649,0.321836,0,322.728,1.47523,0,3.45094,8.0281,9.33662,0,0.450711,6.48398,13.4827,0,14.0241,0,0,0.917522,0.170781,0,19.8848,2.84059,1.99595,62.2265,5.9206,0,2.60787,5.53331,0,0,0,0,0
15.1748,0,0,1.9293,0.174028,30.8016,0,1.1618,0,0,0,0,0,0,0,10.3412,0,0,122.199,1.11483,4.63669,1.30964,1.10399,15.4863,0,0,88.516,10.4586,0,6.80043,0,0,0,2.73612,0,77.5875,9.31364,0,11.2297,0,0,4.06827,1.52695,0,0,0,0,0
14.7466,0,0,1.10634,0,17.6402,2.81689,0,0,0,0,0,0,0,0,0.475109,0,0,265.913,0,0,1.57274,3.11194,25.4557,3.00334,0,138.733,0,0,4.78282,0,0,0.10752,0,0,48.4916,7.0432,0,0,0,0.639712,0,0,0.955555,0,0,0,0
25.1401,0.640265,0,1.28387,1.86126,62.9803,7.17196,3.28284,0,0,0,0,0,0,0,4.02589,1.78145,5.37124,19.9612,0,4.0643,5.73259,10.8418,43.3499,0,0.469539,64.357,4.0014,2.04927,19.0014,1.87584,0,1.93492,0,0,97.3283,7.30705,4.64008,34.8221,3.20991,0,51.1745,4.96251,0,0,0,0.340686,18.8573
0,0,0,1.2541,0.59333,2.17554,0,0,0,0,36.5375,0.602865,0,0,0,14.4344,0,0,4.57238,0.116797,9.81016,1.63386,4.09207,12.3643,0,1.13454,0.556981,2.28804,0.347128,4.9375,0.788201,16.1109,0,0,0,276.186,5.22176,4.5897,32.8532,12.3427,0,0,0.022161,0,0,0,0.493089,34.4098
1.11511,0,0,0,0,10.3355,0,0,0,0,0,0,0,0,0,0,1.38904,0,77.5946,0.171469,0,2.74246,3.15603,6.54608,0,0,57.6335,4.75752,0,2.75794,0,0,0,0,0,67.9624,2.31289,2.13148,0,0,0,0,0,1.20044,0,0,0,0
13.3599,0,0,0.666287,0,4.1596,0,0,0,0,0,0,0,1.51264,0,0,0,0,252.845,0,0,1.61589,0.505455,1.66767,0,0,7.64982,0.658356,0,0,0,0,2.3346,0,0,10.8919,5.99209,6.66059,18.2715,0,0,0,0,0,0,0,0,1.87542
0,1.75267,0,5.44007,0,1.94588,0,0,0,0,0,0,0,0,0,0,0.330436,0,6.01348,0,0,2.97851,1.30979,1.45526,0,0,6.93752,1.91126,0,0,0,0,0,0.410721,0,10.7644,0.032928,0,13.7805,0,0,0.521855,0,0,0,0,0,7.72484
18.4825,0,0,74.6668,6.77386,45.2271,3.54341,0.472598,0,0,1.59299,0.988026,0,0,0,4.98428,4.58271,4.41086,4.6733,0,6.34941,1.95595,2.90705,18.7184,0,18.9861,6.25908,89.5368,0.853289,15.4052,0,0,1.46113,0,0,178.38,3.26119,0.835862,57.7433,0,1.00898,0,15.4778,0,0,1.44427,1.46003,366.067
19.389,0,0,0,0,4.35537,0,1.31577,0,0,0,0,0,0,0,2.06913,0.241343,1.51075,0,0,0,1.41036,4.10454,1.0882,0,0,1.17053,0,0,0,2.57691,0,0,0.442368,0,164.771,1.62226,4.65917,4.50053,0,0.777999,8.37739,0,1.64363,0,0,0,0
0,0,0,0,0.332311,0,0,0.903039,0,0,0,0,0,0,0,0,0,0,7.83707,0,0,1.21096,0.406825,6.32189,0,0,10.7633,0.482912,0,0,0,0,0,0,0,48.7443,8.60656,0,0,0,0,0,0,0,0,0,0,0
0,0,0,13.7466,1.33105,13.1593,0,0,0,0.977735,3.1333,0,0.119671,0,0,4.8966,0,0,1.66903,0,3.29885,2.2865,5.91151,19.8702,0,0.917684,3.48361,0.246824,0.473232,0.66902,0,0,0,0,0.837284,156.102,9.41478,2.70956,42.8581,0,3.28813,2.59324,0,2.57909,0,0,0,1.37637
0.176225,0,0,0,4.34745,22.0032,0.695537,3.69812,0,0,1.43765,0,0,0,0,0.923657,3.14721,0.29962,191.533,0,2.62825,5.74684,6.5602,48.948,0,0,42.1495,1.72826,0,0,0,1.72462,0,0,0,28.4438,0.55884,0.346507,9.82655,0.953308,0,0,0,0,0,0,0,0.370815
27.1138,0.119873,0,0,0,18.0883,0,0,0,0,0,0,0,0.019621,1.58221,0,0,0.641902,3.09961,0,4.66747,2.00652,1.2427,2.22155,0,0,9.37386,1.94436,0,0,0,0,0,0,1.93849,33.8948,8.75399,1.63394,12.9393,0.456919,0,0,0,0,0,0,0,4.503
8.40849,0,0,1.10289,1.27914,46.2437,0,0,0,0,37.7777,0,0,0,0,1.84112,0,0.105898,178.026,0,0,1.70142,1.48079,13.0064,0,1.96405,12.161,7.87039,0,12.8673,12.5628,0,7.0421,0,0,112.933,0.416487,0,4.077,0,0,0,5.88337,0,0,0.82227,0,0
48.9437,0,0,5.58521,0.366566,150.751,5.09807,0,0,2.58788,0.720319,0,0,0,1.68241,0,0,3.36483,0.965257,15.9073,0,3.91829,7.402,0,0,0,1.21531,0,0.031595,5.8936,0,0,0.711304,0,0,18.6622,9.54845,1.67904,2.89488,3.86697,3.3542,3.48295,2.85281,0,0,0,0.797761,0.14268
19.4443,0,0,2.36187,3.0717,67.7805,1.14633,2.1454,0,0,1.40639,0,0,0,0,10.5803,2.52722,0,664.727,0,0.667309,14.9843,33.2329,53.6655,0,0,270.019,0,0,14.6524,0,0,0.983985,0,0,171.666,3.46045,2.04677,0,0,0,0,5.79307,0,0,0,0,5.0049
